Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Country of origin,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
married,Over 23 years old,"""1""",Veterinary Nursing,daytime,Secondary education,133.1,Portugal,Can Read Without Having a 4th Year of Schooling,Can Read Without Having a 4th Year of Schooling,Blank,"Personal Services, Security and Safety Workers, and Sellers",128.2,False,False,False,False,female,True,28,False,0,5,14,1,12.0,3,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
married,Change of course,"""1""",Nursing,daytime,Secondary education,137.0,Portugal,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,115.0,False,False,False,True,female,False,28,False,0,7,8,7,14.95,0,0,8,8,8,14.7375,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,140.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",130.0,False,False,True,True,female,False,25,False,0,5,10,4,11.25,0,0,5,9,4,12.0,0,12.7,3.7,-1.7,Enrolled
single,Change of course,"""1""",Advertising and Marketing Management,daytime,Secondary education,134.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,Administrative Staff,120.7,False,False,True,False,female,False,19,False,0,6,13,3,10.666666666666666,0,0,6,6,4,12.25,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,"""5""",Nursing,daytime,Secondary education,139.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",130.5,True,False,False,True,female,False,19,False,0,8,8,7,14.992857142857142,0,0,8,8,7,14.992857142857142,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""2""",Management,daytime,Secondary education,113.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",107.4,True,False,False,True,male,False,20,False,0,5,12,3,10.5,0,0,5,10,4,11.25,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,"""3""",Social Service,daytime,Secondary education,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,100.0,True,False,False,True,male,False,22,False,0,6,6,4,11.25,0,0,6,7,3,11.0,0,8.9,1.4,3.51,Enrolled
single,Change of course,"""1""",Journalism and Communication,daytime,Secondary education,132.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.0,True,False,False,True,male,True,20,False,0,6,6,6,12.333333333333334,0,0,6,7,6,14.0,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""4""",Nursing,daytime,Secondary education,127.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",121.5,True,False,False,True,male,False,20,False,0,7,7,6,13.016666666666666,0,0,7,7,6,13.016666666666666,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""1""",Veterinary Nursing,daytime,Secondary education,123.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Other Situation,127.2,False,False,True,False,male,False,20,False,0,5,7,3,11.333333333333334,0,0,5,8,2,11.5,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,"""1""",Veterinary Nursing,daytime,Higher education - degree (1st cycle),130.0,Portugal,Higher Education - Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,160.0,True,False,False,True,female,False,27,False,0,6,7,6,16.142857142857142,0,0,6,7,6,14.666666666666666,0,13.9,-0.3,0.79,Graduate
single,Change of institution/course,"""1""",Veterinary Nursing,daytime,Secondary education,125.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative Staff,120.0,False,False,False,True,female,False,22,False,0,6,8,6,14.833333333333334,0,0,6,10,5,13.833333333333334,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""3""",Nursing,daytime,Secondary education,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141.5,True,False,True,False,female,False,19,False,0,8,8,7,13.327142857142857,0,0,8,8,7,13.327142857142857,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,111.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,111.4,True,False,False,False,female,False,19,False,0,6,13,4,11.0,0,0,6,13,2,11.5,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,"""1""",Communication Design,daytime,Secondary education,132.0,Portugal,Higher Education - Master's,Technological Specialization Course,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,136.6,True,False,False,True,female,False,18,False,1,6,10,6,11.714285714285714,1,0,6,15,6,10.375,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,"""1""",Animation and Multimedia Design,daytime,Secondary education,150.0,Portugal,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers, and Sellers",154.6,True,False,False,True,female,False,19,False,6,12,13,12,12.333333333333334,0,4,11,12,10,12.727272727272728,0,8.9,1.4,3.51,Dropout
single,3rd phase - general contingent,"""4""",Basic Education,daytime,Secondary education,118.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",111.4,True,False,True,False,female,False,20,False,0,7,9,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
married,Change of course,"""1""",Management (evening attendance),evening,Secondary education,150.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.1,False,False,False,False,female,False,39,False,11,15,15,12,11.916666666666666,0,8,13,14,8,11.25,0,10.8,1.4,1.74,Dropout
married,Over 23 years old,"""2""",Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",100.0,False,False,True,True,female,False,37,False,0,6,9,6,11.833333333333334,0,0,6,7,6,11.0,0,7.6,2.6,0.32,Graduate
married,Over 23 years old,"""1""",Nursing,daytime,Higher education - degree,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",140.0,False,False,True,False,female,False,30,False,3,7,11,3,12.333333333333334,0,3,7,9,3,11.666666666666666,0,13.9,-0.3,0.79,Dropout
married,Change of course,"""1""",Management (evening attendance),evening,Higher education - degree,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130.0,False,False,False,True,female,False,41,False,5,10,11,10,14.3,0,5,10,10,10,14.2,0,12.7,3.7,-1.7,Graduate
divorced,Over 23 years old,"""1""",Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",100.0,False,False,False,False,female,False,40,False,0,8,11,5,11.832,4,0,8,11,5,11.832,4,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,"""1""",Management,daytime,Secondary education,112.0,Portugal,12th Year of Schooling - Not Completed,Technical-Professional Course,Administrative Staff,Intermediate Level Technicians and Professions,106.1,False,False,False,True,female,False,20,False,0,5,13,2,10.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,1st phase - general contingent,"""1""",Management (evening attendance),evening,Secondary education,144.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,151.4,False,False,False,True,female,False,28,False,0,5,5,5,12.0,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
single,3rd phase - general contingent,"""2""",Basic Education,daytime,Secondary education,120.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Administrative Staff,113.7,True,False,True,False,female,False,19,False,0,7,11,5,12.2,0,0,7,13,0,0.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,"""1""",Advertising and Marketing Management,daytime,Secondary education,121.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,116.5,True,False,False,True,female,False,23,False,0,5,7,3,11.333333333333334,0,0,5,5,4,11.25,0,7.6,2.6,0.32,Dropout
single,Holders of other higher courses,"""1""",Social Service (evening attendance),evening,Higher education - master's,120.0,Portugal,Higher Education - Bachelor's Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,120.0,False,False,False,True,female,False,18,False,10,16,24,13,13.846153846153848,0,7,11,15,9,12.555555555555555,0,15.5,2.8,-4.06,Dropout
single,Over 23 years old,"""1""",Nursing,daytime,Secondary education,100.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,Installation and Machine Operators and Assembly Workers,122.0,False,False,False,True,female,False,24,False,0,8,8,7,12.412857142857144,0,0,8,8,7,12.412857142857144,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,"""5""",Advertising and Marketing Management,daytime,Secondary education,115.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",117.1,False,False,False,True,female,False,21,False,0,5,7,3,12.666666666666666,0,0,5,6,4,12.75,1,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""2""",Nursing,daytime,Secondary education,123.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",120.8,True,False,False,True,female,False,19,False,0,8,11,7,12.545714285714286,0,0,8,11,7,12.545714285714286,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,134.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,141.4,True,False,False,True,female,False,19,False,0,6,12,3,13.0,0,0,6,13,2,14.0,0,9.4,-0.8,-3.12,Dropout
single,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,123.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,110.0,False,False,True,False,female,False,48,False,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
married,Change of course,"""1""",Management (evening attendance),evening,Higher education - bachelor's degree,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,False,False,False,False,female,False,38,False,9,12,12,9,12.22222222222222,2,9,12,12,9,13.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,"""1""",Management,daytime,Secondary education,131.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",120.2,False,False,False,True,female,False,19,False,0,5,10,5,13.285714285714286,0,0,5,8,5,13.0,0,12.7,3.7,-1.7,Graduate
married,Over 23 years old,"""1""",Management (evening attendance),evening,Other - 11th year of schooling,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative Staff,138.4,False,False,False,True,male,False,30,False,0,5,7,3,11.666666666666666,0,0,5,8,1,11.0,0,7.6,2.6,0.32,Dropout
single,Technological specialization diploma holders,"""1""",Agronomy,daytime,Technological specialization course,150.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150.0,False,False,False,True,male,True,24,False,0,6,9,6,13.555555555555555,0,0,6,7,6,12.666666666666666,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,"""5""",Journalism and Communication,daytime,Secondary education,134.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",121.8,True,False,False,True,male,False,19,False,0,6,6,6,13.166666666666666,0,0,6,8,6,12.428571428571429,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,"""1""",Animation and Multimedia Design,daytime,Technological specialization course,140.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,140.0,False,False,False,True,male,False,21,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent,"""1""",Tourism,daytime,Secondary education,117.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",116.3,True,False,False,True,male,True,21,False,0,6,6,6,11.666666666666666,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""2""",Management (evening attendance),evening,Secondary education,143.0,Portugal,Higher Education - Doctorate,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Administrative Staff,131.5,False,False,False,True,male,False,19,False,0,5,11,4,11.0,0,0,5,8,4,12.25,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,"""2""",Communication Design,daytime,Secondary education,142.0,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative Staff,141.0,True,False,False,True,male,False,18,False,0,6,6,6,13.0,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,"""1""",Communication Design,daytime,Secondary education,132.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",138.0,False,False,False,True,male,True,18,False,0,6,6,6,13.666666666666666,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,"""4""",Informatics Engineering,daytime,Secondary education,138.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Legislative Power, Executive Bodies, Directors, and Executive Managers",Administrative Staff,127.5,True,False,False,True,male,False,19,False,0,5,6,5,14.6,0,0,5,5,5,15.2,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,131.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.0,False,False,False,True,male,True,19,False,0,8,8,7,12.514285714285714,0,0,8,8,7,12.514285714285714,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,"""2""",Veterinary Nursing,daytime,Secondary education,123.0,Portugal,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,118.9,False,False,False,True,male,False,18,False,0,5,5,3,14.0,0,0,5,7,3,12.666666666666666,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""1""",Tourism,daytime,Secondary education,131.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,134.5,True,False,False,True,male,False,25,False,0,6,8,6,13.166666666666666,0,0,6,8,5,12.6,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,"""1""",Informatics Engineering,daytime,Secondary education,141.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,133.0,True,False,False,True,male,False,18,False,0,5,10,4,13.0,0,0,5,10,3,12.333333333333334,3,7.6,2.6,0.32,Enrolled
facto union,Over 23 years old,"""1""",Management,daytime,Secondary education,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",114.0,False,False,False,False,male,False,29,False,0,5,5,1,13.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
single,2nd phase - general contingent,"""1""",Informatics Engineering,daytime,Secondary education,116.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Other Situation,"Personal Services, Security and Safety Workers, and Sellers",116.7,True,False,False,True,male,False,21,False,0,5,10,1,10.0,0,0,5,8,3,13.666666666666666,3,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,"""3""",Journalism and Communication,daytime,Secondary education,123.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",125.1,True,False,True,True,male,True,18,False,0,6,6,6,14.333333333333334,0,0,6,6,6,15.333333333333334,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,"""1""",Tourism,daytime,Secondary education,133.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,137.2,False,False,False,True,male,True,20,False,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",111.4,False,False,False,True,male,False,27,False,0,5,7,1,11.0,0,0,5,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,"""1""",Veterinary Nursing,daytime,Secondary education,133.1,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Unskilled Workers,105.0,True,False,False,True,male,False,21,False,0,6,15,3,11.25,0,0,6,9,0,0.0,0,12.4,0.5,1.79,Enrolled
single,3rd phase - general contingent,"""2""",Management,daytime,Secondary education,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,124.3,True,False,False,True,male,False,20,False,0,5,7,4,10.75,0,0,5,12,3,10.571428571428571,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,"""1""",Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Unskilled Workers,132.0,False,False,True,False,male,False,28,False,0,5,7,1,11.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,"""2""",Oral Hygiene,daytime,Secondary education,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,110.0,False,False,False,True,male,True,24,False,0,7,13,6,10.857142857142858,0,0,7,7,7,11.857142857142858,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,"""5""",Management,daytime,Secondary education,134.0,Portugal,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,134.7,False,False,False,True,male,False,22,False,1,5,10,4,11.75,0,0,5,10,3,11.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""1""",Veterinary Nursing,daytime,Secondary education,134.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,136.8,True,False,False,True,male,False,20,False,0,5,8,5,12.8,0,0,5,9,4,13.666666666666666,1,10.8,1.4,1.74,Graduate
single,Technological specialization diploma holders,"""1""",Veterinary Nursing,daytime,Technological specialization course,160.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Administrative Staff,160.0,False,False,False,True,male,False,21,False,1,5,15,3,12.333333333333334,2,0,5,7,5,11.4,0,9.4,-0.8,-3.12,Graduate
single,Technological specialization diploma holders,"""1""",Agronomy,daytime,Technological specialization course,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,130.0,True,False,True,False,male,False,23,False,0,6,12,2,11.333333333333334,0,0,6,8,2,13.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,141.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction, and Craftsmen",Intermediate Level Technicians and Professions,128.8,True,False,False,True,male,False,18,False,0,6,10,5,11.6,0,0,6,6,6,11.166666666666666,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Animation and Multimedia Design,daytime,Secondary education,147.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th Year of Schooling,Administrative Staff,Administrative Staff,148.4,True,False,False,True,male,True,20,False,8,14,15,12,10.923076923076923,0,7,13,14,11,12.181818181818182,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""1""",Animation and Multimedia Design,daytime,Secondary education,137.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Personal Services, Security and Safety Workers, and Sellers",130.4,True,False,False,True,male,False,19,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Graduate
married,Over 23 years old,"""1""",Nursing,daytime,Higher education - degree,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",126.0,False,False,False,True,male,False,32,False,0,7,7,7,13.62857142857143,0,0,8,8,8,13.9125,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,"""6""",Tourism,daytime,Secondary education,119.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,118.7,True,False,False,True,male,False,20,False,0,6,16,3,10.333333333333334,0,0,6,16,1,11.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",120.0,False,False,False,True,male,False,32,False,12,18,25,18,13.736842105263158,0,10,13,15,12,13.75,1,15.5,2.8,-4.06,Graduate
single,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",120.0,True,False,False,True,male,False,28,False,7,13,19,8,11.625,0,5,10,17,6,11.0,0,15.5,2.8,-4.06,Enrolled
single,Technological specialization diploma holders,"""1""",Communication Design,daytime,Technological specialization course,120.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",116.3,True,True,False,True,male,True,21,False,2,7,7,4,11.5,0,5,9,10,7,12.142857142857142,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",133.9,False,False,False,True,male,True,19,False,0,6,8,5,14.0,0,0,6,8,6,13.0,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,"""1""",Management (evening attendance),evening,Technological specialization course,150.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150.3,False,False,False,True,male,False,24,False,0,5,7,3,11.333333333333334,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
